sbj,distractor,block,accurate,rt,first,AQ,SAS
1,1,1,1,4.8908,0,17,39
1,1,2,1,2.9536,0,17,39
1,1,3,1,3.0314,0,17,39
1,1,1,1,5.5626,1,17,39
1,1,2,1,1.713,1,17,39
1,1,3,1,1.707,0,17,39
1,1,1,1,2.5233,0,17,39
1,1,2,1,2.1425,0,17,39
1,1,3,1,2.157,1,17,39
1,1,1,1,2.3569,0,17,39
1,1,2,1,4.1153,0,17,39
1,1,3,1,1.6785,1,17,39
1,0,1,1,2.3015,0,17,39
1,0,2,1,1.6346,0,17,39
1,0,3,1,1.6167,0,17,39
1,1,1,1,3.5126,0,17,39
1,1,2,1,2.7235,0,17,39
1,1,3,1,1.5006,0,17,39
1,0,1,1,4.0035,0,17,39
1,0,2,1,1.6195,0,17,39
1,0,3,1,1.7347,0,17,39
1,0,1,1,1.9305,0,17,39
1,0,2,1,1.5625,0,17,39
1,0,3,1,1.6756,0,17,39
1,1,1,1,3.0836,1,17,39
1,1,2,1,1.9586,1,17,39
1,1,3,1,1.9856,1,17,39
1,1,1,1,19.14,0,17,39
1,1,2,1,2.2492,0,17,39
1,1,3,1,1.5703,NaN,17,39
1,1,1,1,3.781,1,17,39
1,1,2,1,2.8166,0,17,39
1,1,3,1,2.0176,0,17,39
1,1,1,1,2.8769,1,17,39
1,1,2,1,2.3705,1,17,39
1,1,3,1,2.1033,0,17,39
1,0,1,1,3.6755,1,17,39
1,0,2,1,3.3235,1,17,39
1,0,3,1,1.4907,0,17,39
1,1,1,1,5.907,1,17,39
1,1,2,1,3.5669,0,17,39
1,1,3,1,1.9447,NaN,17,39
1,1,1,1,2.9697,0,17,39
1,1,2,1,1.9766,0,17,39
1,1,3,1,2.3594,0,17,39
1,1,1,1,3.3093,1,17,39
1,1,2,1,1.9265,0,17,39
1,1,3,1,1.4877,0,17,39
1,1,1,1,4.2122,0,17,39
1,1,2,1,2.6844,1,17,39
1,1,3,1,1.9626,0,17,39
1,0,1,1,3.1573,0,17,39
1,0,2,1,2.6867,0,17,39
1,0,3,1,2.1134,0,17,39
1,0,1,1,3.1421,0,17,39
1,0,2,1,2.5953,0,17,39
1,0,3,1,2.0827,0,17,39
1,0,1,1,2.3796,0,17,39
1,0,2,1,2.1106,0,17,39
1,0,3,1,1.6194,0,17,39
1,1,1,1,6.5895,0,17,39
1,1,2,1,2.0565,1,17,39
1,1,3,1,2.0414,0,17,39
1,1,1,1,3.4003,1,17,39
1,1,2,1,2.0163,1,17,39
1,1,3,1,2.7165,0,17,39
1,0,1,1,6.6175,0,17,39
1,0,2,1,1.9475,0,17,39
1,0,3,1,1.9283,0,17,39
1,1,1,1,4.3702,0,17,39
1,1,2,1,2.6388,0,17,39
1,1,3,1,1.8936,0,17,39
1,1,1,1,3.5935,0,17,39
1,1,2,1,2.8836,0,17,39
1,1,3,1,1.8489,0,17,39
1,1,1,1,13.902,1,17,39
1,1,2,1,3.3101,NaN,17,39
1,1,3,1,1.8113,1,17,39
1,0,1,1,2.7485,0,17,39
1,0,2,1,1.5505,0,17,39
1,0,3,1,1.8516,0,17,39
2,1,1,1,3.5745,1,20,66
2,1,2,1,4.0474,0,20,66
2,1,3,1,2.246,0,20,66
2,0,1,1,3.6125,0,20,66
2,0,2,1,3.0635,0,20,66
2,0,3,1,2.5544,1,20,66
2,0,1,1,3.44,0,20,66
2,0,2,1,2.5686,0,20,66
2,0,3,1,2.0546,0,20,66
2,0,1,1,7.0039,0,20,66
2,0,2,1,3.1467,0,20,66
2,0,3,1,2.2704,1,20,66
2,0,1,1,2.5716,0,20,66
2,0,2,1,2.2377,0,20,66
2,0,3,1,1.7161,1,20,66
2,0,1,1,5.7596,0,20,66
2,0,2,1,1.6513,1,20,66
2,0,3,1,1.7679,0,20,66
2,0,1,1,9.3176,0,20,66
2,0,2,1,2.2686,0,20,66
2,0,3,1,1.7781,0,20,66
2,0,1,1,4.2094,0,20,66
2,0,2,1,2.4827,0,20,66
2,0,3,1,1.6346,0,20,66
2,0,1,1,5.1706,0,20,66
2,0,2,1,3.1105,1,20,66
2,0,3,1,1.6453,0,20,66
2,0,1,1,4.0826,0,20,66
2,0,2,1,3.4545,1,20,66
2,0,3,1,1.9827,1,20,66
2,1,1,1,2.7992,1,20,66
2,1,2,1,2.0855,0,20,66
2,1,3,1,1.9847,0,20,66
2,0,1,1,3.0165,0,20,66
2,0,2,1,3.7956,0,20,66
2,0,3,1,3.4454,0,20,66
2,0,1,1,3.3767,1,20,66
2,0,2,1,3.4384,0,20,66
2,0,3,1,2.3133,0,20,66
2,1,1,1,4.8937,0,20,66
2,1,2,1,4.49,1,20,66
2,1,3,1,5.4745,0,20,66
2,1,1,1,3.3789,1,20,66
2,1,2,1,2.5298,1,20,66
2,1,3,1,2.1016,0,20,66
2,1,1,1,2.5826,1,20,66
2,1,2,1,2.2469,0,20,66
2,1,3,1,2.2773,0,20,66
2,0,1,1,3.7076,1,20,66
2,0,2,1,2.4583,1,20,66
2,0,3,1,3.9167,0,20,66
2,1,1,1,2.3973,0,20,66
2,1,2,1,2.0022,0,20,66
2,1,3,1,1.9095,0,20,66
2,0,1,1,4.2746,1,20,66
2,0,2,1,9.3694,0,20,66
2,0,3,1,2.6644,1,20,66
2,0,1,1,2.4567,0,20,66
2,0,2,1,2.1337,0,20,66
2,0,3,1,1.3804,0,20,66
2,0,1,1,3.654,0,20,66
2,0,2,1,3.5718,0,20,66
2,0,3,1,2.2494,0,20,66
2,0,1,1,3.2045,0,20,66
2,0,2,1,3.3564,0,20,66
2,0,3,1,2.5166,1,20,66
2,0,1,1,9.2312,0,20,66
2,0,2,1,2.0984,0,20,66
2,0,3,1,1.7249,0,20,66
2,0,1,1,2.4446,0,20,66
2,0,2,1,1.8627,0,20,66
2,0,3,1,2.1547,0,20,66
2,1,1,1,2.7105,0,20,66
2,1,2,1,3.1417,0,20,66
2,1,3,1,3.4026,0,20,66
2,0,1,1,3.1855,0,20,66
2,0,2,1,2.1695,0,20,66
2,0,3,1,1.5096,0,20,66
2,0,1,1,4.0427,0,20,66
2,0,2,1,2.3666,0,20,66
2,0,3,1,2.2627,0,20,66
2,1,1,1,2.399,0,20,66
2,1,2,1,2.9179,1,20,66
2,1,3,1,2.6177,1,20,66
2,1,1,1,2.3545,0,20,66
2,1,2,1,1.9066,0,20,66
2,1,3,1,1.7567,0,20,66
2,1,1,1,2.4515,0,20,66
2,1,2,1,2.2587,1,20,66
2,1,3,1,1.9687,0,20,66
2,1,1,1,2.4526,0,20,66
2,1,2,1,1.9408,0,20,66
2,1,3,1,1.8676,0,20,66
2,1,1,1,8.3574,1,20,66
2,1,2,1,2.5223,0,20,66
2,1,3,1,1.9805,0,20,66
2,1,1,1,3.116,1,20,66
2,1,2,1,1.9477,1,20,66
2,1,3,1,2.1757,1,20,66
2,1,1,1,4.0406,1,20,66
2,1,2,1,7.7056,1,20,66
2,1,3,1,1.9966,0,20,66
2,0,1,1,7.2459,0,20,66
2,0,2,1,2.0556,0,20,66
2,0,3,1,2.3191,0,20,66
2,0,1,1,2.8232,0,20,66
2,0,2,1,3.5842,1,20,66
2,0,3,1,2.4697,0,20,66
2,1,1,1,3.4694,0,20,66
2,1,2,1,2.5819,0,20,66
2,1,3,1,1.5634,0,20,66
2,0,1,1,3.6613,1,20,66
2,0,2,1,2.0704,0,20,66
2,0,3,1,1.4837,0,20,66
2,0,1,1,4.8061,0,20,66
2,0,2,1,2.5116,1,20,66
2,0,3,1,3.0014,0,20,66
2,0,1,1,3.5053,0,20,66
2,0,2,1,2.5699,0,20,66
2,0,3,1,1.4176,0,20,66
2,1,1,1,11.618,0,20,66
2,1,2,1,2.1386,0,20,66
2,1,3,1,1.7537,0,20,66
2,0,1,1,3.1226,0,20,66
2,0,2,1,2.1784,0,20,66
2,0,3,1,1.6714,0,20,66
2,1,1,1,2.4686,1,20,66
2,1,2,1,2.5066,1,20,66
2,1,3,1,1.9788,0,20,66
2,0,1,1,2.7105,0,20,66
2,0,2,1,2.9013,1,20,66
2,0,3,1,2.1477,0,20,66
2,0,1,1,1.8726,0,20,66
2,0,2,1,2.7585,1,20,66
2,0,3,1,1.9206,0,20,66
2,1,1,1,9.4485,0,20,66
2,1,2,1,2.0762,0,20,66
2,1,3,1,2.1295,0,20,66
2,1,1,1,3.6685,0,20,66
2,1,2,1,2.9557,0,20,66
2,1,3,1,1.7887,0,20,66
2,0,1,1,2.9543,0,20,66
2,0,2,1,2.1596,0,20,66
2,0,3,1,1.8062,0,20,66
2,0,1,1,5.5246,0,20,66
2,0,2,1,2.5757,1,20,66
2,0,3,1,2.391,1,20,66
2,1,1,1,3.0718,1,20,66
2,1,2,1,2.2007,0,20,66
2,1,3,1,1.5742,0,20,66
2,1,1,1,3.1348,1,20,66
2,1,2,1,2.4631,0,20,66
2,1,3,1,2.4157,0,20,66
2,0,1,1,2.5449,0,20,66
2,0,2,1,2.7334,0,20,66
2,0,3,1,2.3207,0,20,66
2,1,1,1,3.0532,0,20,66
2,1,2,1,2.2754,1,20,66
2,1,3,1,1.7545,0,20,66
2,1,1,1,2.7656,0,20,66
2,1,2,1,4.0748,0,20,66
2,1,3,1,2.4357,0,20,66
2,1,1,1,3.0129,1,20,66
2,1,2,1,5.8251,0,20,66
2,1,3,1,2.6584,0,20,66
2,1,1,1,3.7378,1,20,66
2,1,2,1,2.0651,0,20,66
2,1,3,1,2.2666,0,20,66
2,1,1,1,4.8119,1,20,66
2,1,2,1,3.6856,1,20,66
2,1,3,1,1.5785,0,20,66
2,0,1,1,2.0014,0,20,66
2,0,2,1,1.9555,0,20,66
2,0,3,1,2.5326,0,20,66
2,1,1,1,3.0616,0,20,66
2,1,2,1,2.1787,0,20,66
2,1,3,1,2.6636,0,20,66
2,0,1,1,3.2427,0,20,66
2,0,2,1,2.0082,0,20,66
2,0,3,1,1.6373,0,20,66
2,0,1,1,2.1419,0,20,66
2,0,2,1,2.2177,0,20,66
2,0,3,1,2.2543,0,20,66
2,1,1,1,2.9869,0,20,66
2,1,2,1,3.2824,0,20,66
2,1,3,1,2.3439,0,20,66
2,1,1,1,3.9795,0,20,66
2,1,2,1,2.1205,0,20,66
2,1,3,1,2.0267,0,20,66
2,1,1,1,5.6124,0,20,66
2,1,2,1,2.619,0,20,66
2,1,3,1,2.3016,0,20,66
2,1,1,1,4.1255,1,20,66
2,1,2,1,2.1366,1,20,66
2,1,3,1,3.3145,1,20,66
2,0,1,1,6.7269,1,20,66
2,0,2,1,2.3027,1,20,66
2,0,3,1,2.3975,0,20,66
2,1,1,1,3.0088,0,20,66
2,1,2,1,3.5446,0,20,66
2,1,3,1,1.7344,0,20,66
2,1,1,1,3.3364,0,20,66
2,1,2,1,2.1356,0,20,66
2,1,3,1,2.0839,0,20,66
2,1,1,1,2.3155,1,20,66
2,1,2,1,2.1345,1,20,66
2,1,3,1,1.6267,0,20,66
2,1,1,1,3.7946,0,20,66
2,1,2,1,4.1345,1,20,66
2,1,3,1,2.3097,0,20,66
2,0,1,1,7.0131,0,20,66
2,0,2,1,1.7165,0,20,66
2,0,3,1,1.9035,0,20,66
2,0,1,1,3.9716,0,20,66
2,0,2,1,2.8389,0,20,66
2,0,3,1,1.7225,0,20,66
2,0,1,1,6.7133,0,20,66
2,0,2,1,1.7397,0,20,66
2,0,3,1,2.5402,NaN,20,66
2,1,1,1,2.6427,0,20,66
2,1,2,1,2.6355,0,20,66
2,1,3,1,2.4847,0,20,66
2,1,1,1,3.6303,0,20,66
2,1,2,1,2.1757,0,20,66
2,1,3,1,2.706,0,20,66
2,0,1,1,5.8778,0,20,66
2,0,2,1,3.1536,0,20,66
2,0,3,1,3.0377,0,20,66
2,1,1,1,2.3376,0,20,66
2,1,2,1,2.0725,0,20,66
2,1,3,1,1.7967,0,20,66
2,1,1,1,2.5265,0,20,66
2,1,2,1,3.3794,0,20,66
2,1,3,1,1.8366,0,20,66
2,1,1,1,6.7055,0,20,66
2,1,2,1,3.1344,0,20,66
2,1,3,1,1.6827,0,20,66
2,0,1,1,2.0184,0,20,66
2,0,2,1,2.3112,0,20,66
2,0,3,1,1.5871,0,20,66
3,1,1,1,11.573,1,15,63
3,1,2,1,2.9314,1,15,63
3,1,3,1,2.1235,0,15,63
3,0,1,1,3.1024,0,15,63
3,0,2,1,2.6062,0,15,63
3,0,3,1,3.0595,0,15,63
3,0,1,1,4.4902,0,15,63
3,0,2,1,2.3737,0,15,63
3,0,3,1,1.5051,0,15,63
3,0,1,1,3.4096,0,15,63
3,0,2,1,1.7014,0,15,63
3,0,3,1,3.2583,0,15,63
3,0,1,1,2.8473,1,15,63
3,0,2,1,3.2925,1,15,63
3,0,3,1,1.6913,0,15,63
3,0,1,1,2.6705,0,15,63
3,0,2,1,1.3965,0,15,63
3,0,3,1,1.4041,0,15,63
3,0,1,1,5.9424,0,15,63
3,0,2,1,2.292,1,15,63
3,0,3,1,1.6695,1,15,63
3,0,1,1,7.5927,0,15,63
3,0,2,1,2.4484,0,15,63
3,0,3,1,2.1364,0,15,63
3,0,1,1,4.6913,0,15,63
3,0,2,1,3.9304,0,15,63
3,0,3,1,1.7093,0,15,63
3,0,1,1,3.8056,0,15,63
3,0,2,1,4.3545,0,15,63
3,0,3,1,2.5955,0,15,63
3,1,1,1,4.486,0,15,63
3,1,2,1,2.5083,0,15,63
3,1,3,1,1.8025,0,15,63
3,0,1,1,2.5864,0,15,63
3,0,2,1,2.757,0,15,63
3,0,3,1,2.0385,0,15,63
3,0,1,1,3.8883,0,15,63
3,0,2,1,2.0185,0,15,63
3,0,3,1,2.3811,0,15,63
3,1,1,1,3.3342,0,15,63
3,1,2,1,2.3314,0,15,63
3,1,3,1,2.1186,1,15,63
3,1,1,1,2.0426,1,15,63
3,1,2,1,2.897,1,15,63
3,1,3,1,2.2039,1,15,63
3,1,1,1,2.3524,0,15,63
3,1,2,1,1.8494,0,15,63
3,1,3,1,1.6963,0,15,63
3,0,1,1,2.6414,1,15,63
3,0,2,1,3.7081,0,15,63
3,0,3,1,3.1553,0,15,63
3,1,1,1,1.9554,0,15,63
3,1,2,1,2.337,0,15,63
3,1,3,1,1.9543,0,15,63
3,0,1,1,2.2074,1,15,63
3,0,2,1,2.2905,1,15,63
3,0,3,1,2.1014,1,15,63
3,0,1,1,16.914,0,15,63
3,0,2,1,2.2355,0,15,63
3,0,3,1,1.3183,0,15,63
3,0,1,1,3.0902,1,15,63
3,0,2,1,1.8625,0,15,63
3,0,3,1,1.5716,1,15,63
3,0,1,1,3.3321,0,15,63
3,0,2,1,3.0595,0,15,63
3,0,3,1,2.771,1,15,63
3,0,1,1,2.1062,0,15,63
3,0,2,1,2.4734,0,15,63
3,0,3,1,2.6467,0,15,63
3,0,1,1,5.0396,0,15,63
3,0,2,1,5.3983,0,15,63
3,0,3,1,1.5614,0,15,63
3,1,1,1,2.1433,0,15,63
3,1,2,1,1.6655,0,15,63
3,1,3,1,1.9122,0,15,63
3,0,1,1,6.2728,1,15,63
3,0,2,1,1.1358,0,15,63
3,0,3,1,1.3934,0,15,63
3,0,1,1,3.4368,0,15,63
3,0,2,1,1.4725,0,15,63
3,0,3,1,1.5485,0,15,63
3,1,1,1,3.0523,0,15,63
3,1,2,1,3.2826,0,15,63
3,1,3,1,1.8395,0,15,63
3,1,1,1,6.0444,1,15,63
3,1,2,1,2.8036,0,15,63
3,1,3,1,2.9285,0,15,63
3,1,1,1,1.8444,1,15,63
3,1,2,1,1.751,1,15,63
3,1,3,1,1.2685,1,15,63
3,1,1,1,3.8805,0,15,63
3,1,2,1,3.7145,0,15,63
3,1,3,1,2.0527,0,15,63
3,1,1,1,3.2534,1,15,63
3,1,2,1,4.9629,0,15,63
3,1,3,1,3.8092,1,15,63
3,1,1,1,2.3303,1,15,63
3,1,2,1,2.3003,0,15,63
3,1,3,1,2.3253,0,15,63
3,1,1,1,3.2542,1,15,63
3,1,2,1,3.3415,0,15,63
3,1,3,1,2.0281,0,15,63
3,0,1,1,5.1593,0,15,63
3,0,2,1,3.8823,0,15,63
3,0,3,1,3.5435,0,15,63
3,0,1,1,4.3443,0,15,63
3,0,2,1,3.2934,0,15,63
3,0,3,1,6.6233,0,15,63
3,1,1,1,2.2367,0,15,63
3,1,2,1,3.1906,0,15,63
3,1,3,1,1.5714,0,15,63
3,0,1,1,5.5223,0,15,63
3,0,2,1,1.9623,0,15,63
3,0,3,1,1.2423,1,15,63
3,0,1,1,5.0824,0,15,63
3,0,2,1,4.34,0,15,63
3,0,3,1,5.7093,0,15,63
3,0,1,1,2.0285,0,15,63
3,0,2,1,1.5785,0,15,63
3,0,3,1,1.4253,0,15,63
3,1,1,1,20.116,1,15,63
3,1,2,1,2.7085,0,15,63
3,1,3,1,1.7784,0,15,63
3,0,1,1,14.74,1,15,63
3,0,2,1,2.3876,1,15,63
3,0,3,1,2.7606,0,15,63
3,1,1,1,4.867,1,15,63
3,1,2,1,4.4253,1,15,63
3,1,3,1,4.7666,1,15,63
3,0,1,1,5.0583,0,15,63
3,0,2,1,1.4985,0,15,63
3,0,3,1,1.3774,0,15,63
3,0,1,1,4.2834,0,15,63
3,0,2,1,3.4045,0,15,63
3,0,3,1,1.9754,0,15,63
3,1,1,1,2.9484,1,15,63
3,1,2,1,2.3203,1,15,63
3,1,3,1,2.2708,1,15,63
3,1,1,1,3.9488,0,15,63
3,1,2,1,5.0876,0,15,63
3,1,3,1,3.7822,0,15,63
3,0,1,1,4.7984,0,15,63
3,0,2,1,3.0394,0,15,63
3,0,3,1,1.8094,0,15,63
3,0,1,1,6.7622,0,15,63
3,0,2,1,3.1315,0,15,63
3,0,3,1,2.4304,0,15,63
3,1,1,1,4.5484,1,15,63
3,1,2,1,3.0405,1,15,63
3,1,3,1,4.14,0,15,63
3,1,1,1,2.8864,1,15,63
3,1,2,1,5.3274,1,15,63
3,1,3,1,1.9854,1,15,63
3,0,1,1,19.059,0,15,63
3,0,2,1,3.5713,0,15,63
3,0,3,1,2.7325,0,15,63
3,1,1,1,14.666,1,15,63
3,1,2,1,1.6255,1,15,63
3,1,3,1,2.3995,1,15,63
3,1,1,1,7.3237,0,15,63
3,1,2,1,3.7851,0,15,63
3,1,3,1,3.8798,0,15,63
3,1,1,1,3.9459,1,15,63
3,1,2,1,3.0872,1,15,63
3,1,3,1,1.9644,1,15,63
3,1,1,1,3.5894,0,15,63
3,1,2,1,3.6694,0,15,63
3,1,3,1,2.4258,0,15,63
3,1,1,1,2.8024,0,15,63
3,1,2,1,2.6654,0,15,63
3,1,3,1,7.5593,1,15,63
3,0,1,1,1.9925,0,15,63
3,0,2,1,2.1905,0,15,63
3,0,3,1,1.3145,0,15,63
3,1,1,1,1.7163,0,15,63
3,1,2,1,1.9758,0,15,63
3,1,3,1,1.7286,0,15,63
3,0,1,1,2.7435,0,15,63
3,0,2,1,2.2245,0,15,63
3,0,3,1,1.8721,0,15,63
3,0,1,1,2.6802,0,15,63
3,0,2,1,1.5074,0,15,63
3,0,3,1,1.7323,0,15,63
3,1,1,1,4.2863,1,15,63
3,1,2,1,3.357,1,15,63
3,1,3,1,1.7905,0,15,63
3,1,1,1,12.422,0,15,63
3,1,2,1,2.276,0,15,63
3,1,3,1,1.3155,0,15,63
3,1,1,1,4.2674,0,15,63
3,1,2,1,4.2324,0,15,63
3,1,3,1,1.9505,0,15,63
3,1,1,1,2.7195,0,15,63
3,1,2,1,2.4352,0,15,63
3,1,3,1,2.2096,0,15,63
3,0,1,1,2.7195,0,15,63
3,0,2,1,4.658,0,15,63
3,0,3,1,1.7508,0,15,63
3,1,1,1,8.3293,1,15,63
3,1,2,1,3.2785,0,15,63
3,1,3,1,2.6229,1,15,63
3,1,1,1,8.2202,0,15,63
3,1,2,1,2.6515,0,15,63
3,1,3,1,2.4545,0,15,63
3,1,1,1,11.68,0,15,63
3,1,2,1,1.8825,0,15,63
3,1,3,1,1.4885,0,15,63
3,1,1,1,3.4991,0,15,63
3,1,2,1,2.9856,0,15,63
3,1,3,1,2.3004,0,15,63
3,0,1,1,2.4694,0,15,63
3,0,2,1,2.4475,0,15,63
3,0,3,1,2.133,0,15,63
3,0,1,1,3.1241,0,15,63
3,0,2,1,1.7761,0,15,63
3,0,3,1,2.2379,0,15,63
3,0,1,1,2.8493,0,15,63
3,0,2,1,2.7135,0,15,63
3,0,3,1,1.7955,0,15,63
3,1,1,1,5.8234,0,15,63
3,1,2,1,8.5442,0,15,63
3,1,3,1,1.5484,1,15,63
3,1,1,1,2.4943,0,15,63
3,1,2,1,3.6253,0,15,63
3,1,3,1,2.3522,0,15,63
3,0,1,1,2.75,0,15,63
3,0,2,1,2.0474,1,15,63
3,0,3,1,2.1143,0,15,63
3,1,1,1,3.4033,0,15,63
3,1,2,1,2.5104,0,15,63
3,1,3,1,1.2254,0,15,63
3,1,1,1,3.6759,0,15,63
3,1,2,1,1.9923,0,15,63
3,1,3,1,1.6935,0,15,63
3,1,1,1,6.2681,0,15,63
3,1,2,1,8.2952,0,15,63
3,1,3,1,5.0675,0,15,63
3,0,1,1,2.5351,0,15,63
3,0,2,1,2.0468,0,15,63
3,0,3,1,1.7482,0,15,63
4,1,1,1,6.7793,0,11,18
4,1,2,1,3.7403,0,11,18
4,1,3,1,3.5123,0,11,18
4,0,1,1,6.673,0,11,18
4,0,2,1,2.5613,0,11,18
4,0,3,1,2.2224,0,11,18
4,0,1,1,3.5434,0,11,18
4,0,2,1,2.4133,0,11,18
4,0,3,1,3.457,0,11,18
4,0,1,1,5.68,0,11,18
4,0,2,1,2.9953,0,11,18
4,0,3,1,3.2002,0,11,18
4,0,1,1,4.6422,0,11,18
4,0,2,1,1.9902,0,11,18
4,0,3,1,2.1113,1,11,18
4,0,1,1,4.5607,0,11,18
